AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades COVID-19,E1,2020-04-10T11:09:41,6,Average number of ships in reference period April 2019,2019-04-01T10:54:37,9,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON((( 2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on Sentinel-2 data as proxy for activity level,Sentinel-2,Sentinel 2 L2A,E1,2020-04-20T10:57:00,5,Average number of ships in reference period April 2019,2019-04-01T10:54:37,9,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON((( 2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on Sentinel-2 data as proxy for activity level,Sentinel-2,Sentinel 2 L2A,E1,2020-05-05T10:56:56,5,Average number of ships in reference period April 2019,2019-04-01T10:54:37,9,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON((( 2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E1,2020-04-22T11:17:50,8,Average number of ships in reference period April 2019,2019-04-01T10:54:37,9,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON (((2.27066137550442 51.0382989380004,2.2688889038834 51.0390742577921,2.26696230429533 51.0435320948231,2.3318501784215 51.0549170140355,2.33369971402604 51.0510416110415,2.27066137550442 51.0382989380004)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,FR03,weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E1,2020-05-06T11:10:01,6,Average number of ships in reference period April 2019,2019-04-01T10:54:37,9,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON (((2.27066137550442 51.0382989380004,2.2688889038834 51.0390742577921,2.26696230429533 51.0435320948231,2.3318501784215 51.0549170140355,2.33369971402604 51.0510416110415,2.27066137550442 51.0382989380004)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E1,2020-05-12T11:13:40,7,Average number of ships in reference period April 2019,2019-04-01T10:54:37,9,X is the Measurement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON (((2.27066137550442 51.0382989380004,2.2688889038834 51.0390742577921,2.26696230429533 51.0435320948231,2.3318501784215 51.0549170140355,2.33369971402604 51.0510416110415,2.27066137550442 51.0382989380004)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,FR03,weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on Sentinel-2 data as proxy for activity level,Sentinel-2,Sentinel 2 L2A,E1,2020-05-30T10:57:05,3,Average number of ships in reference period April 2019,2019-04-17T07:58:08,9,X is the Measurement value. If X<(ref_value-30%ref_value) Low(RED) X >(ref_value+30%ref_value) High(GREEN) (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal(BLUE),Low,"MULTIPOLYGON(((2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on Sentinel-2 data as proxy for activity level,Sentinel-2,Sentinel 2 L2A,E1,2020-05-28T11:06:57,2,Average number of ships in reference period April 2019,2019-04-17T07:58:08,9,X is the Measurement value. If X<(ref_value-30%ref_value) Low(RED) X >(ref_value+30%ref_value) High(GREEN) (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal(BLUE),Low,"MULTIPOLYGON(((2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on Sentinel-2 data as proxy for activity level,Sentinel-2,Sentinel 2 L2A,E1,2020-05-25T10:57:00,4,Average number of ships in reference period April 2019,2019-04-17T07:58:08,9,X is the Measurement value. If X<(ref_value-30%ref_value) Low(RED) X >(ref_value+30%ref_value) High(GREEN) (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal(BLUE),Low,"MULTIPOLYGON(((2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on Sentinel-2 data as proxy for activity level,Sentinel-2,Sentinel 2 L2A,E1,2020-05-20T10:57:05,2,Average number of ships in reference period April 2019,2019-04-17T07:58:08,9,X is the Measurement value. If X<(ref_value-30%ref_value) Low(RED) X >(ref_value+30%ref_value) High(GREEN) (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal(BLUE),Low,"MULTIPOLYGON(((2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on Sentinel-2 data as proxy for activity level,Sentinel-2,Sentinel 2 L2A,E1,2020-05-18T11:06:56,4,Average number of ships in reference period April 2019,2019-04-17T07:58:08,9,X is the Measurement value. If X<(ref_value-30%ref_value) Low(RED) X >(ref_value+30%ref_value) High(GREEN) (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal(BLUE),Low,"MULTIPOLYGON(((2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on Sentinel-2 data as proxy for activity level,Sentinel-2,Sentinel 2 L2A,E1,2020-05-15T10:56:58,2,Average number of ships in reference period April 2019,2019-04-17T07:58:08,9,X is the Measurement value. If X<(ref_value-30%ref_value) Low(RED) X >(ref_value+30%ref_value) High(GREEN) (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal(BLUE),Low,"MULTIPOLYGON(((2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on Sentinel-2 data as proxy for activity level,Sentinel-2,Sentinel 2 L2A,E1,2020-04-23T11:06:58,4,Average number of ships in reference period April 2019,2019-04-17T07:58:08,9,X is the Measurement value. If X<(ref_value-30%ref_value) Low(RED) X >(ref_value+30%ref_value) High(GREEN) (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal(BLUE),Low,"MULTIPOLYGON(((2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of metallic ores,Object detection on Sentinel-2 data as proxy for activity level,Sentinel-2,Sentinel 2 L2A,E1,2020-04-10T10:56:57,3,Average number of ships in reference period April 2019,2019-04-17T07:58:08,9,X is the Measurement value. If X<(ref_value-30%ref_value) Low(RED) X >(ref_value+30%ref_value) High(GREEN) (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal(BLUE),Low,"MULTIPOLYGON(((2.270661375504422 51.038298938000395,2.268888903883398 51.039074257792066,2.266962304295329 51.043532094823057,2.331850178421496 51.054917014035453,2.333699714026043 51.051041611041519,2.270661375504422 51.038298938000395)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,Weekly
