AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-11T00:00:00, NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-11T00:00:00,[-0.222 0.32],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-12T00:00:00,-0.356,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-12T00:00:00,[-0.194 0.333],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,LOW TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,GREEN,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-13T00:00:00,-0.306,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-13T00:00:00,[-0.165 0.327],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,LOW TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,GREEN,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-14T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-14T00:00:00,[-0.19 0.315],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-15T00:00:00,-0.224,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-15T00:00:00,[-0.153 0.32],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,LOW TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,GREEN,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-16T00:00:00,-0.104,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-16T00:00:00,[-0.128 0.309],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-17T00:00:00,0.017,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-17T00:00:00,[-0.121 0.306],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-18T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-18T00:00:00,[-0.151 0.296],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-19T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-19T00:00:00,[-0.157 0.298],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-20T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-20T00:00:00,[-0.14 0.288],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
