AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-05T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-05T00:00:00,[0.185 0.284],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-06T00:00:00,0.09,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-06T00:00:00,[0.192 0.289],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,LOW TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,GREEN,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-07T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-07T00:00:00,[0.18 0.291],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-08T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-08T00:00:00,[0.171 0.298],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-09T00:00:00,0.201,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-09T00:00:00,[0.18 0.289],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-10T00:00:00,0.397,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-10T00:00:00,[0.183 0.284],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-11T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-11T00:00:00,[0.155 0.282],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-12T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-12T00:00:00,[0.154 0.278],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-13T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-13T00:00:00,[0.153 0.279],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-14T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-14T00:00:00,[0.145 0.291],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-15T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-15T00:00:00,[0.146 0.306],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-16T00:00:00,0.275,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-16T00:00:00,[0.184 0.322],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-17T00:00:00,0.282,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-17T00:00:00,[0.162 0.331],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-18T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-18T00:00:00,[0.126 0.339],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-19T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-19T00:00:00,[0.126 0.35],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-20T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-20T00:00:00,[0.125 0.367],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-21T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-21T00:00:00,[0.125 0.37],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-22T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-22T00:00:00,[0.137 0.378],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-23T00:00:00,0.557,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-23T00:00:00,[0.149 0.378],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,RED,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-24T00:00:00,0.505,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-24T00:00:00,[0.142 0.389],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-25T00:00:00,0.503,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-25T00:00:00,[0.115 0.387],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,HIGH TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,RED,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-26T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-26T00:00:00,[0.079 0.386],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-27T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-27T00:00:00,[0.052 0.376],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-28T00:00:00,-0.168,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-28T00:00:00,[0.058 0.381],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,LOW TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,GREEN,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-29T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-29T00:00:00,[0.068 0.389],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-30T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-30T00:00:00,[0.055 0.384],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-05-31T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-05-31T00:00:00,[0.051 0.372],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-06-01T00:00:00,0.419,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-06-01T00:00:00,[0.049 0.388],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-06-02T00:00:00,0.065,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-06-02T00:00:00,[0.036 0.394],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-06-03T00:00:00,0.179,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-06-03T00:00:00,[0.027 0.408],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-06-04T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-06-04T00:00:00,[-0.003 0.394],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-06-05T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-06-05T00:00:00,[0.003 0.4],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-06-06T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-06-06T00:00:00,[0.004 0.393],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-06-07T00:00:00,0.29,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-06-07T00:00:00,[0.013 0.408],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
