AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"30.12,31.24",EG,,Cairo ,,XCO2,XCO2,XCO2_Cairo,GOSAT_XCO2_JAXA,N2,2018-06-30T11:18:37,,,,,XCO2 Cairo,,"POLYGON((30 31,32 31,32 29,30 29,30 31))",XCO2,,BLUE,JAXA,EG01,EndSeason
"30.12,31.24",EG,,Cairo ,,XCO2,XCO2,XCO2_Cairo,GOSAT_XCO2_JAXA,N2,2019-02-01T11:14:55,,,,,XCO2 Cairo,,,XCO2,,BLUE,JAXA,EG01,EndSeason
"30.12,31.24",EG,,Cairo ,,XCO2,XCO2,XCO2_Cairo,GOSAT_XCO2_JAXA,N2,2019-10-05T11:09:59,,,,,XCO2 Cairo,,,XCO2,,BLUE,JAXA,EG01,EndSeason
