AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"35.7,139.9",JP,,Tokyo,Tokyo,Airports: throughput,,ALOS-2,airport_tk,E13b,2019-11-28T00:00:00,110,,,,,Normal,,,E13b,BLUE,JAXA,JP01,Monthly
"35.7,139.9",JP,,Tokyo,Tokyo,Airports: throughput,,ALOS-2,airport_tk,E13b,2020-03-19T00:00:00,190,,,,,High,,,E13b,GREEN,JAXA,JP01,Monthly
"35.7,139.9",JP,,Tokyo,Tokyo,Airports: throughput,,ALOS-2,airport_tk,E13b,2020-05-14T00:00:00,210,,,,,High,,,E13b,GREEN,JAXA,JP01,Monthly
