AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"44.408142,8.885851",IT,,Genoa,Port of Genoa and surrounding industrial areas,Intermediate goods production: activity status (archived),Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades COVID-19,E4,2019-04-30T10:33:52,108,Full occupancy of the parking area,,160,"X is the measurement value. If X<20% of the absolute of reference Inactive, X>20% Active",Active,"MULTIPOLYGON(((8.769501070372375  44.426831629252561,8.771405470894988  44.426603976776292,8.771160306689779  44.425448202666018,8.769864438747954  44.425618942023213,8.76965429800063  44.425780925515944,8.769522960033553  44.425929775211962,8.769540471762497  44.426026089721155,8.769317197218466  44.426275631858601,8.769413511727656  44.42675282647231,8.769501070372375  44.426831629252561),(8.76923839443822  44.424524458964243,8.769247150302693  44.424485057574117,8.769540471762497  44.42442814445505,8.769724344916405  44.424362475471511,8.76999577671503  44.424165468520897,8.770297854039308  44.424077909876182,8.773344894875491  44.423609471126937,8.773585681148464  44.424533214828713,8.773454343181388  44.42455510448989,8.772981526499912  44.424471923777411,8.770963299739163  44.424686442456967,8.770547396176752  44.424708332118151,8.770293476107071  44.424682064524731,8.769645542136159  44.424703954185915,8.769330331015174  44.424620773473428,8.76923839443822  44.424524458964243)))",Number of parked cars ,Intermediate goods production: activity status ,GREEN,EMSS,IT3,Archived
"44.408142,8.885851",IT,,Genoa,Port of Genoa and surrounding industrial areas,Intermediate goods production: activity status (archived),Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades COVID-19,E4,2020-02-22T10:41:31,23,Full occupancy of the parking area,,160,"X is the measurement value. If X<20% of the absolute of reference Inactive, X>20% Active",Inactive,"MULTIPOLYGON(((8.769501070372375  44.426831629252561,8.771405470894988  44.426603976776292,8.771160306689779  44.425448202666018,8.769864438747954  44.425618942023213,8.76965429800063  44.425780925515944,8.769522960033553  44.425929775211962,8.769540471762497  44.426026089721155,8.769317197218466  44.426275631858601,8.769413511727656  44.42675282647231,8.769501070372375  44.426831629252561),(8.76923839443822  44.424524458964243,8.769247150302693  44.424485057574117,8.769540471762497  44.42442814445505,8.769724344916405  44.424362475471511,8.76999577671503  44.424165468520897,8.770297854039308  44.424077909876182,8.773344894875491  44.423609471126937,8.773585681148464  44.424533214828713,8.773454343181388  44.42455510448989,8.772981526499912  44.424471923777411,8.770963299739163  44.424686442456967,8.770547396176752  44.424708332118151,8.770293476107071  44.424682064524731,8.769645542136159  44.424703954185915,8.769330331015174  44.424620773473428,8.76923839443822  44.424524458964243)))",Number of parked cars ,Intermediate goods production: activity status ,RED,EMSS,IT3,Archived
"44.408142,8.885851",IT,,Genoa,Port of Genoa and surrounding industrial areas,Intermediate goods production: activity status (archived),Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades COVID-19,E4,2020-03-21T10:26:47,18,Full occupancy of the parking area,,160,"X is the measurement value. If X<20% of the absolute of reference Inactive, X>20% Active",Inactive,"MULTIPOLYGON(((8.769501070372375  44.426831629252561,8.771405470894988  44.426603976776292,8.771160306689779  44.425448202666018,8.769864438747954  44.425618942023213,8.76965429800063  44.425780925515944,8.769522960033553  44.425929775211962,8.769540471762497  44.426026089721155,8.769317197218466  44.426275631858601,8.769413511727656  44.42675282647231,8.769501070372375  44.426831629252561),(8.76923839443822  44.424524458964243,8.769247150302693  44.424485057574117,8.769540471762497  44.42442814445505,8.769724344916405  44.424362475471511,8.76999577671503  44.424165468520897,8.770297854039308  44.424077909876182,8.773344894875491  44.423609471126937,8.773585681148464  44.424533214828713,8.773454343181388  44.42455510448989,8.772981526499912  44.424471923777411,8.770963299739163  44.424686442456967,8.770547396176752  44.424708332118151,8.770293476107071  44.424682064524731,8.769645542136159  44.424703954185915,8.769330331015174  44.424620773473428,8.76923839443822  44.424524458964243)))",Number of parked cars ,Intermediate goods production: activity status ,RED,EMSS,IT3,Archived
"53.532123,9.944467",DE,,Hamburg,Hamburg Port,Intermediate goods production: activity status (archived),Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades COVID19,E4,2020-03-24T10:49:25,331,Full occupancy of the parking area,,800,"X is the measurement value. If X<20% of the absolute of reference Inactive, X>20% Active",Active,"MULTIPOLYGON (((9.92558225474091 53.5090155530514,9.92636510256512 53.509099429604,9.92729333641382 53.5086800468411,9.92771271917679 53.5083836830219,9.92794198175388 53.5079251578677,9.92564935598299 53.5078804237063,9.92558225474091 53.5090155530514),(9.92566333540842 53.5077881594985,9.92693266723767 53.5078300977748,9.9269466466631 53.5076707323249,9.92748904836987 53.5076958952906,9.92751700722074 53.5075029792197,9.92571086545489 53.5074135108969,9.92566333540842 53.5077881594985),(9.92575559961628 53.5074023273566,9.92594571980215 53.507413510897,9.92599045396354 53.5066194795324,9.92580033377766 53.506574745371,9.92575559961628 53.5074023273566),(9.92447788013177 53.5037397178933,9.92537256335943 53.5037453096635,9.92518803494372 53.5036166989495,9.92521040202442 53.5034601293846,9.92581431320309 53.5034992717759,9.92587582267499 53.5027108321815,9.9242234545889 53.5026409350544,9.9242038833933 53.5028618099762,9.92437722826866 53.503113439634,9.92435206530288 53.5037313302381,9.92447788013177 53.5037397178933),(9.92192244116275 53.5031637655655,9.92216288728019 53.5031302149445,9.92235300746606 53.500496491193,9.92214611196967 53.500462940572,9.92192244116275 53.5031637655655),(9.92194760412853 53.5003399216282,9.92194760412853 53.5000938837406,9.92144434481297 53.5000491495792,9.92132691763934 53.4985673304834,9.92109206329208 53.4985785140238,9.92122626577622 53.4998031116916,9.92116475630432 53.4998310705425,9.92121508223588 53.5002895956967,9.92194760412853 53.5003399216282),(9.92591216918112 53.5053333723927,9.9260799222863 53.5053333723927,9.92624767539149 53.5039577969301,9.92602400458458 53.5039577969301,9.92591216918112 53.5053333723927)))",Number of parked cars ,Intermediate goods production: activity status ,GREEN,EMSS,DE1,Archived
"53.532123,9.944467",DE,,Hamburg,Hamburg Port,Intermediate goods production: activity status (archived),Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades - 2.8m - COVID19,E4,2020-02-05T10:20:06,353,Full occupancy of the parking area,,800,"X is the measurement value. If X<20% of the absolute of reference Inactive, X>20% Active",Active,"MULTIPOLYGON (((9.92558225474091 53.5090155530514,9.92636510256512 53.509099429604,9.92729333641382 53.5086800468411,9.92771271917679 53.5083836830219,9.92794198175388 53.5079251578677,9.92564935598299 53.5078804237063,9.92558225474091 53.5090155530514),(9.92566333540842 53.5077881594985,9.92693266723767 53.5078300977748,9.9269466466631 53.5076707323249,9.92748904836987 53.5076958952906,9.92751700722074 53.5075029792197,9.92571086545489 53.5074135108969,9.92566333540842 53.5077881594985),(9.92575559961628 53.5074023273566,9.92594571980215 53.507413510897,9.92599045396354 53.5066194795324,9.92580033377766 53.506574745371,9.92575559961628 53.5074023273566),(9.92447788013177 53.5037397178933,9.92537256335943 53.5037453096635,9.92518803494372 53.5036166989495,9.92521040202442 53.5034601293846,9.92581431320309 53.5034992717759,9.92587582267499 53.5027108321815,9.9242234545889 53.5026409350544,9.9242038833933 53.5028618099762,9.92437722826866 53.503113439634,9.92435206530288 53.5037313302381,9.92447788013177 53.5037397178933),(9.92192244116275 53.5031637655655,9.92216288728019 53.5031302149445,9.92235300746606 53.500496491193,9.92214611196967 53.500462940572,9.92192244116275 53.5031637655655),(9.92194760412853 53.5003399216282,9.92194760412853 53.5000938837406,9.92144434481297 53.5000491495792,9.92132691763934 53.4985673304834,9.92109206329208 53.4985785140238,9.92122626577622 53.4998031116916,9.92116475630432 53.4998310705425,9.92121508223588 53.5002895956967,9.92194760412853 53.5003399216282),(9.92591216918112 53.5053333723927,9.9260799222863 53.5053333723927,9.92624767539149 53.5039577969301,9.92602400458458 53.5039577969301,9.92591216918112 53.5053333723927)))",Number of parked cars ,Intermediate goods production: activity status ,GREEN,EMSS,DE1,Archived
"53.532123,9.944467",DE,,Hamburg,Hamburg Port,Intermediate goods production: activity status (archived),Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E4,2020-04-07T10:41:39,268,Full occupancy of the parking area,,800,"X is the measurement value. If X<20% of the absolute of reference Inactive, X>20% Active",Active,"MULTIPOLYGON (((9.92558225474091 53.5090155530514,9.92636510256512 53.509099429604,9.92729333641382 53.5086800468411,9.92771271917679 53.5083836830219,9.92794198175388 53.5079251578677,9.92564935598299 53.5078804237063,9.92558225474091 53.5090155530514),(9.92566333540842 53.5077881594985,9.92693266723767 53.5078300977748,9.9269466466631 53.5076707323249,9.92748904836987 53.5076958952906,9.92751700722074 53.5075029792197,9.92571086545489 53.5074135108969,9.92566333540842 53.5077881594985),(9.92575559961628 53.5074023273566,9.92594571980215 53.507413510897,9.92599045396354 53.5066194795324,9.92580033377766 53.506574745371,9.92575559961628 53.5074023273566),(9.92447788013177 53.5037397178933,9.92537256335943 53.5037453096635,9.92518803494372 53.5036166989495,9.92521040202442 53.5034601293846,9.92581431320309 53.5034992717759,9.92587582267499 53.5027108321815,9.9242234545889 53.5026409350544,9.9242038833933 53.5028618099762,9.92437722826866 53.503113439634,9.92435206530288 53.5037313302381,9.92447788013177 53.5037397178933),(9.92192244116275 53.5031637655655,9.92216288728019 53.5031302149445,9.92235300746606 53.500496491193,9.92214611196967 53.500462940572,9.92192244116275 53.5031637655655),(9.92194760412853 53.5003399216282,9.92194760412853 53.5000938837406,9.92144434481297 53.5000491495792,9.92132691763934 53.4985673304834,9.92109206329208 53.4985785140238,9.92122626577622 53.4998031116916,9.92116475630432 53.4998310705425,9.92121508223588 53.5002895956967,9.92194760412853 53.5003399216282),(9.92591216918112 53.5053333723927,9.9260799222863 53.5053333723927,9.92624767539149 53.5039577969301,9.92602400458458 53.5039577969301,9.92591216918112 53.5053333723927)))",Number of parked cars,Intermediate goods production: activity status ,GREEN,EMSS,DE1,Archived
"53.532123,9.944467",DE,,Hamburg,Hamburg Port,Intermediate goods production: activity status (archived),Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E4,2020-04-05T10:56:51,102,Full occupancy of the parking area,,800,"X is the measurement value. If X<20% of the absolute of reference Inactive, X>20% Active",Inactive,"MULTIPOLYGON (((9.92558225474091 53.5090155530514,9.92636510256512 53.509099429604,9.92729333641382 53.5086800468411,9.92771271917679 53.5083836830219,9.92794198175388 53.5079251578677,9.92564935598299 53.5078804237063,9.92558225474091 53.5090155530514),(9.92566333540842 53.5077881594985,9.92693266723767 53.5078300977748,9.9269466466631 53.5076707323249,9.92748904836987 53.5076958952906,9.92751700722074 53.5075029792197,9.92571086545489 53.5074135108969,9.92566333540842 53.5077881594985),(9.92575559961628 53.5074023273566,9.92594571980215 53.507413510897,9.92599045396354 53.5066194795324,9.92580033377766 53.506574745371,9.92575559961628 53.5074023273566),(9.92447788013177 53.5037397178933,9.92537256335943 53.5037453096635,9.92518803494372 53.5036166989495,9.92521040202442 53.5034601293846,9.92581431320309 53.5034992717759,9.92587582267499 53.5027108321815,9.9242234545889 53.5026409350544,9.9242038833933 53.5028618099762,9.92437722826866 53.503113439634,9.92435206530288 53.5037313302381,9.92447788013177 53.5037397178933),(9.92192244116275 53.5031637655655,9.92216288728019 53.5031302149445,9.92235300746606 53.500496491193,9.92214611196967 53.500462940572,9.92192244116275 53.5031637655655),(9.92194760412853 53.5003399216282,9.92194760412853 53.5000938837406,9.92144434481297 53.5000491495792,9.92132691763934 53.4985673304834,9.92109206329208 53.4985785140238,9.92122626577622 53.4998031116916,9.92116475630432 53.4998310705425,9.92121508223588 53.5002895956967,9.92194760412853 53.5003399216282),(9.92591216918112 53.5053333723927,9.9260799222863 53.5053333723927,9.92624767539149 53.5039577969301,9.92602400458458 53.5039577969301,9.92591216918112 53.5053333723927)))",Number of parked cars,Intermediate goods production: activity status ,RED,EMSS,DE1,Archived
"53.532123,9.944467",DE,,Hamburg,Hamburg Port,Intermediate goods production: activity status (archived),Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E4,2020-04-09T10:26:12,310,Full occupancy of the parking area,,800,"X is the measurement value. If X<20% of the absolute of reference Inactive, X>20% Active",Active,"MULTIPOLYGON (((9.92558225474091 53.5090155530514,9.92636510256512 53.509099429604,9.92729333641382 53.5086800468411,9.92771271917679 53.5083836830219,9.92794198175388 53.5079251578677,9.92564935598299 53.5078804237063,9.92558225474091 53.5090155530514),(9.92566333540842 53.5077881594985,9.92693266723767 53.5078300977748,9.9269466466631 53.5076707323249,9.92748904836987 53.5076958952906,9.92751700722074 53.5075029792197,9.92571086545489 53.5074135108969,9.92566333540842 53.5077881594985),(9.92575559961628 53.5074023273566,9.92594571980215 53.507413510897,9.92599045396354 53.5066194795324,9.92580033377766 53.506574745371,9.92575559961628 53.5074023273566),(9.92447788013177 53.5037397178933,9.92537256335943 53.5037453096635,9.92518803494372 53.5036166989495,9.92521040202442 53.5034601293846,9.92581431320309 53.5034992717759,9.92587582267499 53.5027108321815,9.9242234545889 53.5026409350544,9.9242038833933 53.5028618099762,9.92437722826866 53.503113439634,9.92435206530288 53.5037313302381,9.92447788013177 53.5037397178933),(9.92192244116275 53.5031637655655,9.92216288728019 53.5031302149445,9.92235300746606 53.500496491193,9.92214611196967 53.500462940572,9.92192244116275 53.5031637655655),(9.92194760412853 53.5003399216282,9.92194760412853 53.5000938837406,9.92144434481297 53.5000491495792,9.92132691763934 53.4985673304834,9.92109206329208 53.4985785140238,9.92122626577622 53.4998031116916,9.92116475630432 53.4998310705425,9.92121508223588 53.5002895956967,9.92194760412853 53.5003399216282),(9.92591216918112 53.5053333723927,9.9260799222863 53.5053333723927,9.92624767539149 53.5039577969301,9.92602400458458 53.5039577969301,9.92591216918112 53.5053333723927)))",Number of ships at peers,Intermediate goods production: activity status ,GREEN,EMSS,DE1,Archived
